File,Execution Time [sec],Audio Length [sec]
output_25.txt,1.145,5.075
output_25.txt,1.301,5.45
output_25.txt,3.422,15.74
output_25.txt,1.296,5.905
output_25.txt,1.502,6.75
output_25.txt,2.0,9.225
output_25.txt,0.805,3.1
output_25.txt,0.621,2.18
output_25.txt,0.946,3.92
output_25.txt,1.668,7.795
output_26.txt,0.557,1.915
output_26.txt,1.825,7.875
output_26.txt,0.657,2.135
output_26.txt,0.567,1.905
output_26.txt,1.54,6.6
output_26.txt,2.026,8.905
output_26.txt,1.293,5.54
output_26.txt,3.335,14.715
output_26.txt,1.754,7.775
output_26.txt,4.706,21.48
output_26.txt,1.707,7.65
output_26.txt,0.691,2.475
output_26.txt,0.905,3.28
output_26.txt,1.159,4.755
output_26.txt,0.701,2.64
output_26.txt,3.167,15.05
output_26.txt,2.822,12.44
output_26.txt,1.69,7.4
output_26.txt,2.912,13.645
output_26.txt,1.771,7.83
output_26.txt,3.142,14.175
output_26.txt,1.862,8.5
output_26.txt,0.803,3.125
output_26.txt,4.316,20.355
output_26.txt,3.767,17.38
output_26.txt,2.956,14.06
output_26.txt,3.579,16.91
output_26.txt,0.781,2.935
output_26.txt,0.731,2.65
output_26.txt,2.985,14.58
output_27.txt,5.206,23.06
output_27.txt,4.189,18.63
output_27.txt,3.009,14.17
output_27.txt,0.837,3.155
output_27.txt,2.017,8.98
output_27.txt,1.165,4.865
output_27.txt,0.959,3.81
output_27.txt,0.689,2.27
output_27.txt,1.667,7.335
output_27.txt,0.753,2.715
output_27.txt,0.955,3.77
output_27.txt,0.863,3.115
output_27.txt,1.425,5.865
output_27.txt,0.629,2.09
output_27.txt,0.833,3.08
output_27.txt,0.601,2.135
output_27.txt,3.132,14.79
output_27.txt,1.08,4.59
output_27.txt,1.279,5.445
output_27.txt,1.5,6.73
output_27.txt,0.914,3.565
output_27.txt,4.643,22.285
output_27.txt,2.989,13.62
output_27.txt,1.693,7.365
output_27.txt,2.992,13.79
output_27.txt,1.335,5.485
output_27.txt,1.117,4.59
output_27.txt,1.086,4.58
output_27.txt,0.874,3.43
output_27.txt,0.528,1.81
output_28.txt,0.567,1.915
output_28.txt,2.265,10.765
output_28.txt,0.878,3.345
output_28.txt,0.902,3.695
output_28.txt,0.885,3.375
output_28.txt,0.827,3.16
output_28.txt,1.541,6.6
output_28.txt,1.025,3.945
output_28.txt,1.446,6.085
output_28.txt,4.404,20.03
output_28.txt,1.414,6.21
output_28.txt,2.221,9.645
output_28.txt,0.89,3.59
output_28.txt,1.273,5.615
output_28.txt,1.35,5.485
output_28.txt,1.961,8.595
output_28.txt,0.853,3.24
output_28.txt,1.194,5.01
output_28.txt,1.018,4.05
output_28.txt,2.182,9.875
output_28.txt,0.9,3.38
output_28.txt,3.954,18.415
output_28.txt,2.561,12.025
output_28.txt,1.807,7.805
output_28.txt,1.648,6.985
output_28.txt,2.873,13.9
output_28.txt,0.672,2.435
output_28.txt,3.105,14.755
output_28.txt,1.363,5.895
output_28.txt,1.646,7.54
output_29.txt,3.58,16.085
output_29.txt,4.823,23.505
output_29.txt,3.265,14.45
output_29.txt,4.433,20.56
output_29.txt,1.853,8.2
output_29.txt,2.899,12.66
output_29.txt,1.087,4.47
output_29.txt,0.818,2.965
output_29.txt,2.84,12.995
output_29.txt,0.713,2.435
output_29.txt,5.532,25.985
output_29.txt,1.606,6.905
output_29.txt,4.263,19.91
output_29.txt,1.639,6.965
output_29.txt,0.832,3.26
output_29.txt,1.301,5.455
output_29.txt,0.825,3.19
output_29.txt,1.124,4.6
output_29.txt,2.039,9.24
output_29.txt,1.853,8.27
output_29.txt,1.253,5.25
output_29.txt,5.098,24.47
output_29.txt,2.81,13.02
output_29.txt,0.675,2.425
output_29.txt,0.805,2.985
output_29.txt,0.905,3.315
output_29.txt,4.317,20.355
output_29.txt,4.347,20.33
output_29.txt,0.907,3.525
output_29.txt,0.642,2.26
output_3.txt,2.939,13.34
output_3.txt,1.352,5.655
output_3.txt,0.627,2.24
output_3.txt,0.683,2.515
output_3.txt,5.597,24.45
output_3.txt,1.452,6.36
output_3.txt,2.221,10.085
output_3.txt,1.156,4.865
output_3.txt,0.819,3.105
output_3.txt,1.256,5.29
output_3.txt,1.061,4.16
output_3.txt,1.601,7.015
output_3.txt,0.531,1.695
output_3.txt,2.173,9.72
output_3.txt,1.336,5.555
output_3.txt,0.699,2.61
output_3.txt,0.767,3.0
output_3.txt,2.335,10.66
output_3.txt,0.8,3.11
output_3.txt,0.807,3.04
output_3.txt,1.58,6.905
output_3.txt,1.872,8.23
output_3.txt,1.133,4.885
output_3.txt,0.677,2.48
output_3.txt,1.263,5.25
output_3.txt,2.232,10.07
output_3.txt,2.213,10.23
output_3.txt,0.929,3.87
output_3.txt,2.091,9.3
output_3.txt,1.494,6.37
output_30.txt,2.705,12.61
output_30.txt,4.068,19.09
output_30.txt,1.857,8.2
output_30.txt,0.761,2.63
output_30.txt,0.877,3.435
output_30.txt,1.555,6.915
output_30.txt,2.519,11.69
output_30.txt,2.59,12.02
output_30.txt,1.552,7.12
output_30.txt,4.179,19.99
output_30.txt,2.167,9.72
output_30.txt,0.699,2.64
output_30.txt,1.95,9.155
output_30.txt,1.031,4.17
output_30.txt,3.425,15.415
output_30.txt,2.579,11.535
output_30.txt,1.133,4.755
output_30.txt,2.05,9.345
output_30.txt,1.107,4.35
output_30.txt,3.064,15.31
output_30.txt,1.103,4.7
output_30.txt,1.091,4.62
output_30.txt,1.96,8.995
output_30.txt,0.759,2.675
output_30.txt,2.139,9.815
output_30.txt,1.919,8.745
output_30.txt,3.848,18.73
output_30.txt,0.811,3.145
output_30.txt,3.113,14.755
output_30.txt,1.32,5.89
output_4.txt,0.601,2.11
output_4.txt,2.751,12.72
output_4.txt,0.846,3.2
output_4.txt,1.01,4.1
output_4.txt,0.683,2.485
output_4.txt,0.669,2.375
output_4.txt,1.694,7.36
output_4.txt,3.23,15.52
output_4.txt,1.281,5.63
output_4.txt,1.682,7.38
output_4.txt,0.738,2.71
output_4.txt,0.663,2.37
output_4.txt,2.945,13.555
output_4.txt,2.162,9.72
output_4.txt,1.11,4.69
output_4.txt,0.764,2.79
output_4.txt,0.706,2.315
output_4.txt,1.631,6.965
output_4.txt,1.04,4.21
output_4.txt,1.131,4.625
output_4.txt,0.774,2.745
output_4.txt,2.908,13.96
output_4.txt,1.644,7.18
output_4.txt,1.518,6.8
output_4.txt,1.093,4.62
output_4.txt,2.249,10.115
output_4.txt,1.133,4.805
output_4.txt,1.001,3.945
output_4.txt,1.116,4.53
output_4.txt,1.76,7.915
output_5.txt,1.208,4.885
output_5.txt,3.238,15.11
output_5.txt,2.27,10.155
output_5.txt,2.669,11.28
output_5.txt,0.988,3.97
output_5.txt,1.222,4.885
output_5.txt,0.748,2.78
output_5.txt,1.791,7.715
output_5.txt,0.615,1.955
output_5.txt,1.559,6.915
output_5.txt,0.818,2.9
output_5.txt,0.954,3.81
output_5.txt,1.21,4.94
output_5.txt,1.176,4.64
output_5.txt,5.925,28.575
output_5.txt,1.535,6.945
output_5.txt,1.092,4.55
output_5.txt,1.934,8.69
output_5.txt,0.797,2.995
output_5.txt,3.781,17.52
output_5.txt,1.201,5.135
output_5.txt,1.036,4.285
output_5.txt,0.687,2.53
output_5.txt,1.09,4.43
output_5.txt,1.499,6.81
output_5.txt,2.092,9.3
output_5.txt,1.658,7.56
output_5.txt,1.404,5.98
output_5.txt,1.755,7.915
output_5.txt,2.119,10.005
output_6.txt,2.247,10.765
output_6.txt,1.737,7.575
output_6.txt,0.884,3.435
output_6.txt,2.952,14.675
output_6.txt,0.873,3.52
output_6.txt,1.969,8.92
output_6.txt,1.456,6.2
output_6.txt,1.211,4.895
output_6.txt,0.766,2.88
output_6.txt,1.065,4.73
output_6.txt,1.295,5.705
output_6.txt,1.695,7.26
output_6.txt,3.596,16.735
output_6.txt,0.952,3.77
output_6.txt,1.106,4.47
output_6.txt,2.396,10.96
output_6.txt,0.918,3.47
output_6.txt,0.967,3.78
output_6.txt,0.429,1.285
output_6.txt,1.389,5.92
output_6.txt,1.693,7.355
output_6.txt,0.553,1.905
output_6.txt,1.329,5.485
output_6.txt,1.604,7.06
output_6.txt,1.563,6.815
output_6.txt,4.62,22.36
output_6.txt,1.659,7.56
output_6.txt,2.064,9.555
output_6.txt,1.641,7.56
output_6.txt,1.366,5.895
output_7.txt,6.37,30.04
output_7.txt,0.735,2.64
output_7.txt,3.75,17.605
output_7.txt,0.959,3.745
output_7.txt,0.551,1.825
output_7.txt,1.981,9.185
output_7.txt,1.075,4.73
output_7.txt,1.891,8.505
output_7.txt,4.725,21.48
output_7.txt,0.773,3.0
output_7.txt,5.902,28.575
output_7.txt,1.172,4.985
output_7.txt,0.873,3.295
output_7.txt,1.154,5.14
output_7.txt,6.574,31.615
output_7.txt,1.117,4.765
output_7.txt,0.93,3.73
output_7.txt,2.444,10.98
output_7.txt,3.041,13.92
output_7.txt,0.961,3.78
output_7.txt,0.697,2.555
output_7.txt,1.937,8.8
output_7.txt,0.836,3.35
output_7.txt,0.674,2.48
output_7.txt,0.73,2.775
output_7.txt,0.912,3.315
output_7.txt,3.071,14.6
output_7.txt,3.244,15.19
output_7.txt,0.987,3.88
output_7.txt,0.972,3.915
output_8.txt,3.015,13.87
output_8.txt,0.929,3.78
output_8.txt,2.278,10.155
output_8.txt,3.586,15.995
output_8.txt,1.564,6.985
output_8.txt,1.454,6.36
output_8.txt,1.26,5.38
output_8.txt,1.484,6.28
output_8.txt,0.959,3.75
output_8.txt,0.891,3.42
output_8.txt,1.261,5.29
output_8.txt,2.71,12.255
output_8.txt,2.016,8.825
output_8.txt,2.116,8.975
output_8.txt,3.012,14.31
output_8.txt,3.084,14.67
output_8.txt,3.165,15.05
output_8.txt,0.745,2.705
output_8.txt,1.107,4.755
output_8.txt,1.484,6.45
output_8.txt,1.556,7.01
output_8.txt,1.336,5.825
output_8.txt,3.43,15.415
output_8.txt,2.954,13.8
output_8.txt,2.755,12.51
output_8.txt,1.107,4.35
output_8.txt,2.669,12.13
output_8.txt,0.656,2.295
output_8.txt,0.939,3.875
output_8.txt,1.085,4.58
output_9.txt,1.535,6.625
output_9.txt,0.824,2.96
output_9.txt,4.187,18.63
output_9.txt,3.151,14.395
output_9.txt,1.275,5.385
output_9.txt,0.656,2.18
output_9.txt,0.894,3.545
output_9.txt,0.543,1.805
output_9.txt,1.818,8.315
output_9.txt,1.98,9.075
output_9.txt,1.692,7.815
output_9.txt,1.598,6.845
output_9.txt,1.232,4.915
output_9.txt,3.544,16.46
output_9.txt,2.838,12.605
output_9.txt,1.401,6.025
output_9.txt,4.291,19.86
output_9.txt,6.106,28.42
