Episode,total_no_of_tasks,mapped,offloaded,cancelled,Completion%,xCompletion%,totalCompletion%,URG_missed,BE_missed,consumed_energy%
105,1000,999,0,0,1.4000000000000001,8.6,10.0,0,899,6.7661033333326515
106,1000,999,0,0,1.6,5.2,6.800000000000001,0,931,6.6460300000000245
107,1000,999,0,0,0.2,2.6,2.8000000000000003,0,971,5.456532222222366
108,1000,999,0,0,1.6,8.6,10.2,0,897,8.740089999999846
109,1000,999,0,0,1.9,1.9,3.8,0,961,6.780547777777823
110,1000,999,0,0,0.2,3.9,4.1,0,958,5.477359999999798
111,1000,999,0,0,0.8,3.3000000000000003,4.1000000000000005,0,958,5.845926666666745
112,1000,999,0,0,4.3999999999999995,16.7,21.099999999999998,0,788,14.91247444444398
113,1000,1000,0,0,0.8,19.1,19.900000000000002,0,801,13.43006444444349
114,1000,999,0,0,0.3,7.7,8.0,0,919,8.981683333333223
115,1000,999,0,0,2.0,4.5,6.5,0,934,5.974448888888906
116,1000,999,0,0,0.3,6.6000000000000005,6.9,0,930,7.0981499999999915
117,1000,999,0,0,1.7000000000000002,20.599999999999998,22.299999999999997,0,776,15.527696666665868
118,1000,999,0,0,2.6,18.7,21.3,0,786,14.225827777777035
119,1000,1000,0,0,1.4000000000000001,5.7,7.1000000000000005,0,929,7.644298888888379
120,1000,999,0,0,2.1999999999999997,18.8,21.0,0,789,13.8140299999996
121,1000,1000,0,0,0.8,0.6,1.4,0,986,5.4425155555551274
122,1000,999,0,0,0.8,1.7999999999999998,2.5999999999999996,0,973,6.229788888888665
123,1000,999,0,0,0.2,6.4,6.6000000000000005,0,933,7.388261111110839
124,1000,999,0,0,0.2,1.9,2.1,0,978,4.687888888888492
125,1000,1000,0,0,1.0999999999999999,2.1999999999999997,3.3,0,967,5.89410888888906
126,1000,999,0,0,0.0,0.8999999999999999,0.8999999999999999,0,990,4.878982222222083
127,1000,999,0,0,0.6,2.9000000000000004,3.5000000000000004,0,964,6.727092222221831
128,1000,999,0,0,1.9,6.1,8.0,0,919,7.525377777777931
129,1000,999,0,0,0.2,0.4,0.6000000000000001,0,993,4.959173333332878
130,1000,999,0,0,0.5,0.8999999999999999,1.4,0,985,5.315270000000472
131,1000,999,0,0,0.2,0.8999999999999999,1.0999999999999999,0,988,4.937302222221995
132,1000,999,0,0,1.9,18.0,19.9,0,800,14.275554444443229
133,1000,999,0,0,0.7000000000000001,4.2,4.9,0,950,7.297050000000082
134,1000,1000,0,0,1.7000000000000002,11.700000000000001,13.400000000000002,0,866,9.390135555554801
135,1000,999,0,0,2.5,18.9,21.4,0,785,14.600445555554842
136,1000,999,0,0,2.9000000000000004,17.7,20.6,0,793,14.073612222221465
137,1000,999,0,0,0.8,18.0,18.8,0,811,13.611479999999432
138,1000,1000,0,0,1.3,5.8999999999999995,7.199999999999999,0,928,7.980527777777546
139,1000,999,0,0,0.6,5.0,5.6,0,943,6.452211111110662
140,1000,1000,0,0,1.9,1.0999999999999999,3.0,0,970,7.038227777777617
141,1000,999,0,0,1.4000000000000001,11.899999999999999,13.299999999999999,0,866,11.403212222221725
142,1000,999,0,0,0.2,5.2,5.4,0,945,6.1021488888887365
143,1000,999,0,0,1.3,4.2,5.5,0,944,6.221282222222269
144,1000,999,0,0,0.8,2.1,2.9000000000000004,0,970,5.767833333333028
145,1000,999,0,0,0.4,2.0,2.4,0,975,5.583234444444763
146,1000,999,0,0,0.1,3.5999999999999996,3.6999999999999997,0,962,5.7632755555553805
147,1000,999,0,0,0.4,20.0,20.4,0,795,13.35516444444348
148,1000,999,0,0,1.7000000000000002,8.200000000000001,9.900000000000002,0,900,7.747075555555738
149,1000,999,0,0,1.6,18.3,19.900000000000002,0,800,13.290387777776925
150,1000,999,0,0,1.7999999999999998,19.900000000000002,21.700000000000003,0,782,14.909607777777033
151,1000,999,0,0,4.3999999999999995,15.6,20.0,0,799,13.459186666665934
152,1000,1000,0,0,2.4,2.5,4.9,0,951,5.451191111111175
153,1000,1000,0,0,2.1999999999999997,3.5000000000000004,5.7,0,943,5.926552222221804
154,1000,1000,0,0,0.7000000000000001,1.4000000000000001,2.1,0,979,5.409467777777377
