Action,Rewards,Gain,Loss
2,-1.0,notEmpty,0
2,-1.0,notEmpty,0
2,-1.0,notEmpty,0
2,-1.0,notEmpty,0
2,-1.0,notEmpty,0
2,-1.0,notEmpty,0
2,-1.0,notEmpty,0
2,-1.0,notEmpty,0
2,-1.0,notEmpty,0
2,-1.0,notEmpty,0
2,-1.0,notEmpty,0
2,-1.0,notEmpty,0
2,-1.0,notEmpty,0
2,-1.0,notEmpty,0
0,-0.9878983359713158,-1.0,-0.012101664028684163
0,-0.9809190401348056,-1.0,-0.019080959865194418
0,-0.9881841754809675,-1.0,-0.011815824519032538
0,-0.9886498892852086,-1.0,-0.011350110714791391
0,-0.036473490858062514,0.061199999999998526,0.09767349085806104
2,-0.9066509944670353,-1.0,-0.0933490055329647
3,-1.0,-1.0,0.0
3,0.10560191044595552,0.12049999999999628,0.014898089554040757
2,-1.0,notEmpty,0
2,-1.0,notEmpty,0
2,-1.0,notEmpty,0
2,-1.0,notEmpty,0
2,-1.0,notEmpty,0
2,-1.0,notEmpty,0
2,-1.0,notEmpty,0
2,-1.0,notEmpty,0
2,-1.0,notEmpty,0
2,-1.0,notEmpty,0
2,-1.0,notEmpty,0
2,-1.0,notEmpty,0
