0,1,2,3,4
1150.0,1.0,1.0,526.0,0.0
1176.0,1.0,1.0,555.0,0.0
1175.0,1.0,1.0,551.0,0.0
1177.0,1.0,1.0,556.0,0.0
1182.0,2.0,0.0,1182.0,0.0
957.0,0.0,1.0,432.0,0.0
2925.0,1.0,1.0,438.0,0.0
2938.0,5.0,0.0,2938.0,0.0
2540.0,5.0,0.0,2540.0,0.0
3165.0,3.0,1.0,2544.0,0.0
2526.0,5.0,0.0,2526.0,0.0
3152.0,2.0,0.8759999999999977,2627.0,0.0
2650.0,3.0,0.0,2650.0,0.0
3300.0,3.0,1.0,2676.0,0.0
3927.0,3.0,1.0,2685.0,0.0
3937.0,3.0,-1.0,3937.0,0.0
3938.0,1.0,0.3971428571428573,2696.0,0.0
3946.0,3.0,-1.0,3946.0,0.0
3971.0,4.0,-0.2,3971.0,0.0
3798.0,0.0,0.0,2748.0,0.0
3363.0,3.0,1.0,2742.0,0.0
3393.0,3.0,-1.0,3393.0,0.0
3394.0,5.0,-0.2,3394.0,0.0
3420.0,3.0,-1.0,3420.0,0.0
3401.0,3.0,1.0,2780.0,0.0
4026.0,3.0,1.0,2784.0,0.0
4063.0,3.0,1.0,2821.0,0.0
4071.0,5.0,-0.2,4071.0,0.0
4097.0,0.0,0.0,3047.0,0.0
3672.0,4.0,-0.4,2422.0,0.0
2413.0,1.0,1.0,3042.0,0.0
3667.0,4.0,-0.8,2417.0,0.0
2417.0,3.0,-1.0,2417.0,0.0
2418.0,4.0,-0.2,3668.0,0.0
3651.0,3.0,1.0,3030.0,0.0
4280.0,5.0,-0.2,4280.0,0.0
4282.0,3.0,-1.0,4282.0,0.0
4083.0,0.0,0.0,3033.0,0.0
4083.0,0.0,0.0,3033.0,0.0
4276.0,1.0,1.0,3034.0,0.0
3663.0,3.0,1.0,3042.0,0.0
3668.0,3.0,-1.0,3668.0,0.0
3669.0,3.0,-1.0,3669.0,0.0
3651.0,3.0,1.0,3030.0,0.0
4276.0,1.0,1.0,3034.0,0.0
3661.0,3.0,-1.0,3661.0,0.0
3663.0,3.0,1.0,3042.0,0.0
3667.0,4.0,-0.2,2417.0,0.0
2219.0,0.0,0.759999999999998,2944.0,0.0
2926.0,5.0,0.0,2926.0,0.0
2925.0,1.0,0.9462857142857095,438.0,0.0
2938.0,5.0,0.0,2938.0,0.0
3564.0,3.0,1.0,2943.0,0.0
4193.0,3.0,-1.0,4193.0,0.0
3794.0,0.0,0.0,2744.0,0.0
2751.0,1.0,1.0,259.0,0.0
887.0,2.0,0.0,887.0,0.0
888.0,1.0,1.0,267.0,0.0
892.0,2.0,0.0,892.0,0.0
970.0,0.0,0.04099999999999682,445.0,0.0
1053.0,1.0,1.0,432.0,0.0
1053.0,1.0,1.0,432.0,0.0
1050.0,1.0,1.0,426.0,0.0
2925.0,1.0,1.0,438.0,0.0
1063.0,1.0,1.0,442.0,0.0
2942.0,2.0,0.0,2942.0,0.0
3567.0,3.0,-1.0,3567.0,0.0
3567.0,3.0,-1.0,3567.0,0.0
3568.0,3.0,-1.0,3568.0,0.0
3569.0,3.0,-1.0,3569.0,0.0
3551.0,3.0,1.0,2930.0,0.0
3551.0,3.0,1.0,2930.0,0.0
4176.0,3.0,1.0,2934.0,0.0
3162.0,0.0,0.0,862.0,0.0
863.0,1.0,1.0,242.0,0.0
867.0,2.0,0.0,867.0,0.0
1492.0,3.0,-1.0,1492.0,0.0
1493.0,3.0,-1.0,1493.0,0.0
1493.0,3.0,-1.0,1493.0,0.0
1519.0,3.0,-1.0,1519.0,0.0
1501.0,3.0,1.0,880.0,0.0
1501.0,3.0,1.0,880.0,0.0
2151.0,1.0,1.0,2780.0,0.0
3401.0,3.0,1.0,2780.0,0.0
